stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,juv
Seymour,1983,3,0,0.003003,0.261161,0.007562,0.271726,0.014014,NA
Seymour,1984,4,0,0.000174,0.035743,0.0001,0.036017,0.009148,NA
Seymour,1985,1,0,0.000332,0.032018,0.011226,0.043576,0.002684,NA
Seymour,1986,2,0,0.001132,0.811714,0.011322,0.824168,0.057017,NA
Seymour,1987,3,0,0.000314,0.416101,0.025805,0.44222,0.04108,NA
Seymour,1988,4,0,0,0.009027,0.001816,0.010843,0.007989,NA
Seymour,1989,1,0,0.000068,0.018809,0,0.018877,0.002864,NA
Seymour,1990,2,0,0.000136,0.272278,0.006413,0.278827,0.108234,NA
Seymour,1991,3,0,0,0.08431,0.011139,0.095449,0.060797,NA
Seymour,1992,4,0,0,0.015128,0.002778,0.017906,0.003586,NA
Seymour,1993,1,0,0,0.006251,0.002465,0.008716,0.00495,NA
Seymour,1994,2,0,0,0.169885,0.002662,0.172547,0.019152,NA
Seymour,1995,3,0,0.000017,0.064323,0.0017,0.06604,0.023901,NA
Seymour,1996,4,0,0,0.032991,0.006479,0.03947,0.00959,NA
Seymour,1997,1,0,0,0.001944,0,0.001944,0.000836,NA
Seymour,1998,2,0,0.000182,0.210538,0.003684,0.214404,0.014548,NA
Seymour,1999,3,0,0.000032,0.105903,0.027996,0.133931,0.010072,NA
Seymour,2000,4,0,0,0.058537,0.001026,0.059563,0.01186,NA
Seymour,2001,1,0,0,0.014842,0.0042,0.019042,0.003743,NA
Seymour,2002,2,0,0.000851,0.497726,0.009077,0.507654,0.055465,NA
Seymour,2003,3,0,0,0.011206,0.00087,0.012076,0.018483,NA
Seymour,2004,4,0,0,0.006671,0.000246,0.006917,0.000762,NA
Seymour,2005,1,0,0,0.007812,0,0.007812,0.002326,NA
Seymour,2006,2,NA,NA,NA,NA,NA,0.057783,NA
Seymour,2007,3,NA,NA,NA,NA,NA,0.005905,NA
Seymour,2008,4,NA,NA,NA,NA,NA,0.000311,NA
Seymour,2009,1,NA,NA,NA,NA,NA,0.003093,NA
Seymour,2010,2,NA,NA,NA,NA,NA,0.287496,NA
Seymour,2011,3,NA,NA,NA,NA,NA,0.007994,NA
Seymour,2012,4,NA,NA,NA,NA,NA,0.000264,NA
Late Shuswap,1948,4,0,0,0.022876,0.005454,0.02833,0.008502,NA
Late Shuswap,1949,1,0,0.005415,0.021384,0,0.026799,0.002011,NA
Late Shuswap,1950,2,0,0.594356,9.303676,0.012645,9.910677,0.583072,NA
Late Shuswap,1951,3,0,0.00729,0.519779,0.002251,0.52932,0.082094,NA
Late Shuswap,1952,4,0,0.001481,0.01432,0.002131,0.017932,0.004211,NA
Late Shuswap,1953,1,0,0.001456,0.029571,0,0.031027,0.001623,NA
Late Shuswap,1954,2,0,0.71472,15.095741,0.01206,15.822521,1.06764,NA
Late Shuswap,1955,3,0,0.011116,0.853267,0.000609,0.864992,0.044634,NA
Late Shuswap,1956,4,0,0.000555,0.006961,0.000458,0.007974,0.002103,NA
Late Shuswap,1957,1,0,0.000016,0.002206,0,0.002222,0.001651,NA
Late Shuswap,1958,2,0,0.123575,2.076776,0.004097,2.204448,1.128919,NA
Late Shuswap,1959,3,0,0.007679,0.374501,0.000106,0.382286,0.08927,NA
Late Shuswap,1960,4,0,0.000201,0.002333,0,0.002534,0.001322,NA
Late Shuswap,1961,1,0,0.000204,0.006996,0,0.0072,0.000854,NA
Late Shuswap,1962,2,0,0.090241,2.74025,0.010891,2.841382,0.652104,NA
Late Shuswap,1963,3,0,0.078928,3.047429,0.003663,3.13002,0.080246,NA
Late Shuswap,1964,4,0,0.002346,0.017103,0.000177,0.019626,0.000345,NA
Late Shuswap,1965,1,0,0.000496,0.024312,0,0.024808,0.001332,NA
Late Shuswap,1966,2,0,0.096198,3.914887,0.022138,4.033223,0.661765,NA
Late Shuswap,1967,3,0,0.065955,3.108302,0.008076,3.182333,0.402452,NA
Late Shuswap,1968,4,0,0.000222,0.020709,0.000074,0.021005,0.002713,NA
Late Shuswap,1969,1,0,0.001625,0.027967,0,0.029592,0.003166,NA
Late Shuswap,1970,2,0,0.173639,5.373956,0.002667,5.550262,0.787577,NA
Late Shuswap,1971,3,0,0.021467,0.680311,0.000128,0.701906,0.159119,NA
Late Shuswap,1972,4,0,0.004098,0.038342,0.002065,0.044505,0.002155,NA
Late Shuswap,1973,1,0,0.003817,0.064051,0,0.067868,0.002467,NA
Late Shuswap,1974,2,0,0.14521,6.888446,0.00975,7.043406,0.619143,90.475861
Late Shuswap,1975,3,0,0.003181,1.022005,0.001078,1.026264,0.08554,21.208499
Late Shuswap,1976,4,0,0.000578,0.013049,0,0.013627,0.003072,12.460947
Late Shuswap,1977,1,0,0.00062,0.093025,0,0.093645,0.006027,3.901516
Late Shuswap,1978,2,0,0.119355,9.358872,0.115757,9.593984,1.014791,172.618632
Late Shuswap,1979,3,0,0.007343,1.475536,0.015681,1.49856,0.162067,51.295653
Late Shuswap,1980,4,0,0.001513,0.02135,0.000444,0.023307,0.001817,NA
Late Shuswap,1981,1,0,0.000004,0.009466,0,0.00947,0.00595,NA
Late Shuswap,1982,2,0,0.079877,9.206624,0.105481,9.391982,1.568612,137.424814
Late Shuswap,1983,3,0,0.017088,1.94757,0.016259,1.980917,0.100257,34.362244
Late Shuswap,1984,4,0,0.000103,0.032672,0.000399,0.033174,0.002403,NA
Late Shuswap,1985,1,0,0.000061,0.004319,0,0.00438,0.000833,NA
Late Shuswap,1986,2,0,0.067599,10.620066,0.1944,10.882065,1.068368,141.256617
Late Shuswap,1987,3,0,0.008518,3.84021,0.055204,3.903932,0.319714,153.543643
Late Shuswap,1988,4,0,0.000001,0.006611,0.001608,0.00822,0.003556,15.103054
Late Shuswap,1989,1,0,0.000277,0.012858,0,0.013135,0.000385,15.512714
Late Shuswap,1990,2,0,0.019675,7.602634,0.125559,7.747868,1.74553,89.263205
Late Shuswap,1991,3,0,0.00077,0.845854,0.019352,0.865976,0.615987,56.186507
Late Shuswap,1992,4,0,0,0.011466,0.008443,0.019909,0.00664,10.687339
Late Shuswap,1993,1,0,0.000023,0.015343,0,0.015366,0.000753,NA
Late Shuswap,1994,2,0,0.000634,2.589723,0.017569,2.607926,0.664678,63.883374
Late Shuswap,1995,3,0,0.000475,0.750905,0.020211,0.771591,0.210742,16.393377
Late Shuswap,1996,4,0,0,0.03174,0.029362,0.061102,0.005493,NA
Late Shuswap,1997,1,0,0,0.033707,0.000722,0.034429,0.000597,NA
Late Shuswap,1998,2,0,0.020892,7.141837,0.020407,7.183136,0.680552,30.030503
Late Shuswap,1999,3,0,0.000111,0.67751,0.021292,0.698913,0.138275,NA
Late Shuswap,2000,4,0,0,0.001388,0,0.001388,0.000164,NA
Late Shuswap,2001,1,0,0.000088,0.006455,0.001243,0.007786,0.002138,NA
Late Shuswap,2002,2,0,0.042234,7.387191,0.053848,7.483273,2.844548,122.876324
Late Shuswap,2003,3,0,0.000012,0.120226,0.012198,0.132436,0.189695,18.456594
Late Shuswap,2004,4,0,0,0,0.001582245,0.001582245,0.002234,NA
